DATE,CP0733EU28M086NEST
12/1/2000,64.74
1/1/2001,63.64
2/1/2001,62.71
3/1/2001,62.56
4/1/2001,67.33
5/1/2001,66.68
6/1/2001,67.24
7/1/2001,72.63
8/1/2001,72.58
9/1/2001,66.53
10/1/2001,66.58
11/1/2001,62.77
12/1/2001,68.11
1/1/2002,63.48
2/1/2002,63.54
3/1/2002,65.24
4/1/2002,65.81
5/1/2002,66.87
6/1/2002,69.25
7/1/2002,76
8/1/2002,77.69
9/1/2002,68.18
10/1/2002,67.43
11/1/2002,64.38
12/1/2002,72.01
1/1/2003,65.49
2/1/2003,65.88
3/1/2003,65.88
4/1/2003,70.43
5/1/2003,68.17
6/1/2003,69.7
7/1/2003,74.76
8/1/2003,76.65
9/1/2003,70.75
10/1/2003,69.2
11/1/2003,66.25
12/1/2003,71.39
1/1/2004,63.97
2/1/2004,65.63
3/1/2004,65.73
4/1/2004,69.13
5/1/2004,68.2
6/1/2004,70.18
7/1/2004,75.76
8/1/2004,78.38
9/1/2004,70.68
10/1/2004,70.01
11/1/2004,68.52
12/1/2004,77.58
1/1/2005,68.3
2/1/2005,69.1
3/1/2005,72.48
4/1/2005,69.32
5/1/2005,72.72
6/1/2005,74.5
7/1/2005,82.06
8/1/2005,83.57
9/1/2005,75.7
10/1/2005,75.88
11/1/2005,72.37
12/1/2005,77.24
1/1/2006,69.82
2/1/2006,70.14
3/1/2006,70.77
4/1/2006,76.26
5/1/2006,72.95
6/1/2006,76.34
7/1/2006,83.63
8/1/2006,83.04
9/1/2006,74.58
10/1/2006,73.93
11/1/2006,71.38
12/1/2006,76.84
1/1/2007,70.26
2/1/2007,71.67
3/1/2007,71.96
4/1/2007,73.06
5/1/2007,73.59
6/1/2007,75.34
7/1/2007,82.6
8/1/2007,83.5
9/1/2007,72.89
10/1/2007,73.86
11/1/2007,70.25
12/1/2007,77.04
1/1/2008,72.88
2/1/2008,73.75
3/1/2008,77.88
4/1/2008,77.05
5/1/2008,79.65
6/1/2008,82.07
7/1/2008,90.51
8/1/2008,96.3
9/1/2008,84.76
10/1/2008,84.23
11/1/2008,80.77
12/1/2008,90.25
1/1/2009,80.87
2/1/2009,80.23
3/1/2009,77.7
4/1/2009,80.84
5/1/2009,80
6/1/2009,79.89
7/1/2009,86.62
8/1/2009,91.41
9/1/2009,79.24
10/1/2009,80.78
11/1/2009,77.16
12/1/2009,87.56
1/1/2010,78.88
2/1/2010,78.32
3/1/2010,80.79
4/1/2010,82.13
5/1/2010,81.12
6/1/2010,83.07
7/1/2010,90.69
8/1/2010,97.55
9/1/2010,81.48
10/1/2010,81.66
11/1/2010,77.6
12/1/2010,88.61
1/1/2011,78.16
2/1/2011,80.1
3/1/2011,81.89
4/1/2011,93.35
5/1/2011,87.9
6/1/2011,90.9
7/1/2011,100.27
8/1/2011,105.75
9/1/2011,91.01
10/1/2011,88.57
11/1/2011,82.95
12/1/2011,93.97
1/1/2012,81.86
2/1/2012,83.5
3/1/2012,88.14
4/1/2012,93.68
5/1/2012,91.28
6/1/2012,95.32
7/1/2012,107.2
8/1/2012,111.98
9/1/2012,94.13
10/1/2012,92.75
11/1/2012,87.4
12/1/2012,99.56
1/1/2013,87.12
2/1/2013,88.18
3/1/2013,95.3
4/1/2013,93.42
5/1/2013,97.98
6/1/2013,100.5
7/1/2013,111.21
8/1/2013,118.26
9/1/2013,98.6
10/1/2013,95.15
11/1/2013,88.14
12/1/2013,98.78
1/1/2014,87.28
2/1/2014,88.57
3/1/2014,90.22
4/1/2014,102.92
5/1/2014,94.51
6/1/2014,100.19
7/1/2014,112.34
8/1/2014,121.36
9/1/2014,98.06
10/1/2014,95.87
11/1/2014,88.2
12/1/2014,102.59
1/1/2015,87.93
2/1/2015,91.73
3/1/2015,92.04
4/1/2015,96.92
5/1/2015,98.88
6/1/2015,101.78
7/1/2015,116.81
8/1/2015,122.61
9/1/2015,101.37
10/1/2015,98.6
11/1/2015,88.77
12/1/2015,102.56
1/1/2016,86.84
2/1/2016,87.44
3/1/2016,94.26
4/1/2016,93.08
5/1/2016,93.9
6/1/2016,98.74
7/1/2016,114.31
8/1/2016,117.81
9/1/2016,97.13
10/1/2016,95.88
11/1/2016,86.79
12/1/2016,103.12
1/1/2017,86.92
2/1/2017,90.38
3/1/2017,92.4
4/1/2017,108.48
5/1/2017,97.45
6/1/2017,104.69
7/1/2017,119.78
8/1/2017,124.7
9/1/2017,101.73
10/1/2017,98.51
11/1/2017,91.13
12/1/2017,109
1/1/2018,89.74
2/1/2018,95.46
3/1/2018,99.19
4/1/2018,102.85
5/1/2018,102.55
6/1/2018,108.66
7/1/2018,121.56
8/1/2018,129.21
9/1/2018,103.59
10/1/2018,101.6
11/1/2018,92.84
12/1/2018,106.27
1/1/2019,91
2/1/2019,94.01
3/1/2019,96.33
4/1/2019,113.37
5/1/2019,102.52
6/1/2019,111.69
7/1/2019,123.69
8/1/2019,133.89
9/1/2019,106.58
10/1/2019,106.67
11/1/2019,97.53
12/1/2019,109.16
1/1/2020,98.17
